Текущая кодовая страница: 1251
Name                                                                           Stmts   Miss  Cover
--------------------------------------------------------------------------------------------------
config\__init__.py                                                                 0      0   100%
config\settings.py                                                                27      0   100%
config\urls.py                                                                     8      1    88%
lms\__init__.py                                                                    0      0   100%
lms\admin.py                                                                      15      0   100%
lms\apps.py                                                                        3      0   100%
lms\migrations\0001_initial.py                                                     6      0   100%
lms\migrations\0002_course_owner_lesson_owner.py                                   6      0   100%
lms\migrations\0003_subscription.py                                                6      0   100%
lms\migrations\__init__.py                                                         0      0   100%
lms\models.py                                                                     35      3    91%
lms\paginators.py                                                                  5      0   100%
lms\permissions.py                                                                14      0   100%
lms\serializers.py                                                                24      1    96%
lms\tests.py                                                                     137      0   100%
lms\urls.py                                                                        7      0   100%
lms\validators.py                                                                 12      1    92%
lms\views.py                                                                      79     10    87%
manage.py                                                                         11      2    82%
users\__init__.py                                                                  0      0   100%
users\admin.py                                                                    22      0   100%
users\apps.py                                                                      3      0   100%
users\forms.py                                                                    10      0   100%
users\managers.py                                                                 22     11    50%
users\migrations\0001_initial.py                                                   7      0   100%
users\migrations\0002_payment.py                                                   6      0   100%
users\migrations\0003_alter_payment_paid_course_alter_payment_paid_lesson.py       5      0   100%
users\migrations\__init__.py                                                       0      0   100%
users\models.py                                                                   51      7    86%
users\permissions.py                                                               7      0   100%
users\serializers.py                                                              48      4    92%
users\tests.py                                                                    82      0   100%
users\urls.py                                                                      4      0   100%
users\views.py                                                                    38      1    97%
--------------------------------------------------------------------------------------------------
TOTAL                                                                            700     41    94%
